, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
82, Dell , Latitude-cr , 14 Inches , Black , 1 TB , Intel Core I5 6600 , 16 GB , Windows ,, Integrated ,"₹23,199.00",, 2.4 GHz ,,,,,,,,,,
83, Dell , Lattitude E5270 , 12.5 Inches ,, 256 GB , Core i5 6200U , 8 GB , Windows 10 , Anti reflective ,,"₹19,855.00", Intel HD Graphics 520 , 2.4 GHz ,,,,,,,,,,
84, Lenovo , Lenovo Notebook , 15.6 Inches ,,, AMD A6 , 16 GB , Windows ,, Integrated ,"₹15,999.00",, 2.6 GHz , SSD , 1.61 Kilograms ,,,,,,,,
85, HP , HP Chrome , 14 Inches ,, 64 GB , Intel Core i5 , 8 GB , Chrome OS ," Webcam, Thin ", Integrated ,"₹20,899.00",, 1.7 GHz ,,,,,,,,,,
86, ASUS , Vivobook Go 15 (2023) , 15.6 Inches , Mixed Black , 512 GB , Core i3 , 8 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹38,990.00",,,,,,,,,,,,
87, Lenovo ,, 14 Inches ,, 512 GB , AMD Ryzen 3 3300U , 512 GB , Windows ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹33,999.00", AMD Radeon Graphics , 3.2 GHz ,,,,,,,,,,
88, HP , Probook-cr , 14 Inches , Black , 256 GB , Core i5 , 8 GB , Windows 10 Pro ," Anti Glare Screen, Thin ", Integrated ,"₹17,008.00",,,,,,,,,,,,
89, HP , 14s- fy1005AU , 14 Inches , Natural Silver , 512 GB , AMD Ryzen 7 5700U , 16 GB , Windows 11 Home ," Full HD, Micro-Edge Display ", Integrated ,"₹59,990.00",,,,,,,,,,,,
90, ASUS , Vivobook 15 (2023) , 15.6 Inches , Cool Silver , 512 GB , Core i3 , 8 GB , Windows 11 Home , Fingerprint Reader , Integrated ,"₹45,990.00",,,,,,,,,,,,
91, Lenovo , IdeaPad , 15.6 Inches , Graphite Grey , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Fingerprint Reader, Anti Glare Screen, Light Weight, Backlit Keyboard, Thin ", Integrated ,"₹60,990.00",,,,,,,,,,,,
92, Dell , Vostro 3510 , 15.6 Inches , Titan Grey , 512 GB , Core i5 , 8 GB , Windows 11 Home ," Fingerprint Reader, Backlit Keyboard ", Integrated ,"₹51,990.00",,,,,,,,,,,,
93, ASUS , Vivobook 16X , 40.64 Centimetres , Silver , 512 GB , Ryzen 5 , 16 GB , Windows 11 Home ,"  FingerPrint, with Alexa voice-recognition support, Backlit Keyboard, FHD+ (1920 x 1200, WUXGA) 16:10 aspect ratio, Anti Glare Coating  See more  ", Integrated ,"₹52,990.00",,,,,,,,,,,,
94, Lenovo , Lenovo V15 , 15.6 Inches , Iron Grey , 512 GB , AMD Ryzen 5 5500U , 8 GB , Windows 11 Home ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹38,490.00",,,,,,,,,,,,
95, Dell , Latitude , 14.1 Inches , Black , 512 GB , Intel Core i5 , 512 GB , Windows 10 Pro ,, HD Graphic 520 ,"₹20,600.00", intel ,,,,,,,,,,,
96, ASUS , Vivobook 15 (2023) , 15.6 Inches , Cool Silver , 512 GB , Core i5 , 8 GB , Windows 11 Home , Fingerprint Reader , Integrated ,"₹59,990.00",,,,,,,,,,,,
97, Microsoft , Laptop Go , 12.4 Inches ,, 64 GB , Core i5-1035G1 , 4 GB , Windows 10 Pro , Touchscreen , Integrated ,"₹42,990.00", Intel UHD Graphics ,,,,,,,,,,,
98, Acer , Aspire 3 15 , 15.6 Inches ,, 256 GB , Ryzen 3 , 8 GB , Windows 11 Home , Thin , Integrated ,"₹32,990.00", AMD Radeon Graphics ,,,,,,,,,,,
99, Dell , Lattitude E5270 , 12.5 Inches ,, 256 GB , Core i5 6200U , 8 GB , Windows 10 , anti reflective ,,"₹19,855.00", Intel HD Graphics 520 , 2.4 GHz ,,,,,,,,,,
100, HP ,, 14 Inches ,, 1 TB , Athlon , 8 GB ," Windows 7, Windows 10 "," Light Weight, Thin ",,"₹28,271.00",, 2.3 GHz , HDD ,,,, 1366 x 768 ,,,,,
